編號,分類,題號,文件名稱,題目,選項1,選項2,選項3,選項4,正確答案,圖片檔名
A1-122,A1,022,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某企業於不同業務場景導入AI 應用。下列關於其應用情境與機器學習類型的敘 述，何者正確？,(1) 客服對話分析中，同時使用少量標註資料與大量未標註資料進行訓練，屬於 監督式學習（Supervised Learning）,(2) 商品分類系統依據顧客購買行為自動將商品分群，且未使用任何標註資料， 屬於監督式學習（Supervised Learning）,(3) 自動駕駛系統根據操作結果的回饋持續調整決策策略，屬於非監督式學習 （Unsupervised Learning）,(4) 使用者行為分析中，依據瀏覽與點擊模式將使用者分群，且未使用標註資 料，屬於非監督式學習（Unsupervised Learning）,4,
A1-123,A1,023,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某房仲業者委託AI 團隊開發一套房價預測系統，希望根據物件坪數、屋齡、樓 層與地段等條件，自動估算每間房屋的成交價格，供業務人員作為議價參考依 據。下列哪一種指標最適合在系統上線前評估模型的預測準確程度？,(1) 均方誤差（MSE）,(2) 精確率（Precision）,(3) F1 分數（F1 Score）,(4) 召回率（Recall）,1,
A1-124,A1,024,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某電商平台導入強化學習（Reinforcement Learning）技術優化商品推薦策略，AI 代理（AI Agent）會根據使用者的點擊與購買行為持續調整推薦內容。技術團隊 在討論中發現，系統面臨一個核心挑戰：若AI Agent 總是推薦過去表現良好的 商品，可能會錯失發掘更高潛力商品的機會；但若頻繁嘗試未知商品，又可能 影響短期的推薦成效與使用者體驗。請問上述情境敘述的是強化學習中哪一個 第一科：人工智慧基礎概論 答案 題目 核心問題？,(1) 探索與利用的權衡（Exploration vs. Exploitation）,(2) 偏差與變異的權衡（Bias vs. Variance）,(3) 梯度爆炸與消失（Vanishing and Exploding Gradients）,(4) 過擬合與欠擬合（Overfitting and Underfitting）,1,
A1-125,A1,025,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某語音辨識系統需分析長時間的語音序列，發現當句子較長時，模型難以保留 長時間序列中的前段資訊，導致辨識準確度下降。為改善此問題，下列何種模 型最適合？,(1) 長短期記憶網路（LSTM）,(2) 循環神經網路（RNN）,(3) 卷積神經網路（CNN）,(4) 生成式對抗網路（GAN）,1,
A1-126,A1,026,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某大型連鎖超市建置生鮮商品損耗預測模型，以減少報廢損失。資料庫中共有 120 萬筆銷售紀錄，但僅有約8 萬筆資料標記為「正常銷售」或「損耗發生」， 其餘資料均未標註。在標註資源有限的情況下，團隊希望提升模型預測表現。 請問下列哪一種機器學習方式最適合此情境？,(1) 監督式學習（Supervised Learning），以8 萬筆已標註資料訓練分類模型，捨 棄其餘112 萬筆無標註資料,(2) 半監督式學習（Semi-supervised Learning），同時利用少量已標註資料學習分 類邊界，並從大量無標註資料中學習資料整體分布特性,(3) 非監督式學習（Unsupervised Learning），對全部120 萬筆資料進行自動分 群，再由專家事後人工確認各群所代表的損耗類型,(4) 強化學習（Reinforcement Learning），讓模型在每次預測後依據實際損耗結果 作為回饋訊號，持續調整損耗預警策略,2,
A1-127,A1,027,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某製造業評估在不同場景導入AI，包含： （甲）依據設備感測器數值判斷是否出現異常； （乙）依據客服對話內容判斷客戶情緒； （丙）依據產品影像輪廓直接進行瑕疵分類。 下列哪一種情境最適合以自編碼器（Autoencoder）作為主要模型架構？,(1) 甲,(2) 乙,(3) 丙,(4) 甲與丙  第一科：人工智慧基礎概論  答案  題目,1,
A1-128,A1,028,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某AI 團隊正在訓練一個深度神經網路，用於辨識工廠產線上的瑕疵零件。工程 師發現訓練過程中損失函數震盪幅度大，且不同批次資料造成模型學習方向不 穩定。為改善此問題，團隊在各隱藏層加入Batch Normalization 機制。請問此 調整在訓練階段最主要的作用為何？,(1) 將輸入影像標準化，使不同類別的特徵分布更加一致,(2) 自動調整模型權重初始化方式，以避免訓練初期震盪,(3) 增加模型隱藏層的非線性能力，以提升分類精度上限,(4) 降低不同批次輸入造成的內部特徵分布變動，使梯度更新更穩定,4,
A1-129,A1,029,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某AI 研究團隊採用GRPO（Group Relative Policy Optimization）作為一種基於 強化學習的模型優化方法，用於提升大型語言模型的表現。請問GRPO 最適合 用來強化模型在哪一類任務上的表現？,(1) 判斷客服留言的情緒傾向，將每則訊息快速歸類為正面、負面或中性,(2) 將客服電話錄音即時轉換為文字，供後續人工審閱使用,(3) 針對數學應用題或邏輯謎題，逐步推導出正確解答,(4) 分析商品圖片的外觀特徵，自動辨識類別與品項,3,
A1-130,A1,030,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,"某法律科技公司開發一套合約風險審查系統，可自動分析合約內容並標示潛在 的高風險條款。律師在使用過程中，希望了解模型做出風險判斷的依據，因此 系統導入顯著性圖（Saliency Map）作為可解釋 AI 的方法。請問在此自然語言 處理（Natural Language Processing, NLP）應用情境中，顯著性圖主要用來標示 什麼？",(1) 合約中各段落之間的語意相似程度，協助辨識重複或可能矛盾的條款,(2) 模型在進行預測時，輸入文字中對結果影響程度較高的文字片段,(3) 不同版本合約之間的文字差異，用以標示新增或修改的條款位置,(4) 模型在訓練資料中學習到的高頻詞彙，反映常見的風險相關用語,2,
A1-131,A1,031,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,"某製造業AI 品質預測模型採用部分依賴圖（Partial Dependence Plots, PDP）分 析特徵影響效果。資料科學家希望了解「溫度特徵」對良品率的整體影響趨 勢，但主管進一步詢問，是否能用PDP 判斷某一筆瑕疵產品批次資料中，溫度 是否為主要原因。下列何者最能說明PDP 在此情境中的限制？",(1) PDP 無法顯示模型的預測準確率,(2) PDP 僅能反映模型輸出結果，無法提供任何特徵影響的資訊,(3) PDP 僅能用於單一特徵分析，無法同時考慮多個特徵的影響,(4) PDP 僅呈現整體趨勢，無法判斷單一批次的原因,4,
A1-132,A1,032,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某銀行使用LIME（Local Interpretable Model-agnostic Explanations）來解釋其信 第一科：人工智慧基礎概論 答案 題目 貸審核模型的決策結果。分析師在閱讀解釋報告時，看到系統建立了一個簡化 模型來近似原模型在該筆資料附近的行為。下列何者最能說明LIME 中代理模 型（Surrogate model）的意義？,(1) 一個全局解釋所有預測的線性代理模型,(2) 用於產生擾動資料的資料生成機制,(3) 一種獨立訓練的生成式模型，用於輔助預測,(4) 用於擬合原黑箱模型在目標實例附近的預測行為,4,
A1-133,A1,033,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,小明在2025 年使用AI 模型，將自己的照片轉換為公仔風格影像。該模型在維 持生成品質的同時，也能在模型規模較大的情況下兼顧運算效率。下列何者最 能敘述此模型可能採用的設計方式？,(1) 基於單一稠密Transformer 架構，每次運算都使用全部模型參數,(2) 採用稀疏專家混合（Sparse Mixture-of-Experts）架構，每次僅使用部分模型 來提升效率,(3) 採用生成對抗網路（GAN），透過兩個模型互相比較來提升影像品質,(4) 採用卷積神經網路（CNN），直接進行影像轉換,2,
A1-134,A1,034,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,CLIP 與DINO 皆屬於自監督學習（Self-supervised Learning）模型，但其訓練資 料來源有所不同。下列何者最能正確敘述兩者在訓練資料型態上的差異？,(1) 皆使用有標註圖像資料進行監督式學習,(2) 皆使用未標註圖像資料進行自監督學習,(3) CLIP 使用圖像與文字配對資料，DINO 使用未標註圖像資料,(4) CLIP 使用未標註圖像資料，DINO 使用圖像與文字配對資料,3,
A1-135,A1,035,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某企業導入大型語言模型（LLM）進行長篇法規文件的問答查詢。使用者反 映，當問題需整合文件中較不相關的資訊時，模型回答的連貫性與準確性明顯 下降。技術團隊認為此現象與模型架構特性有關。下列何者最能說明傳統 Transformer 在此情境下的限制？,(1) 模型在推理時僅能依賴固定長度的上下文窗口，無法同時處理分散於全文的 資訊,(2) 模型能記住的內容取決於訓練語料，推理時遇到新內容可能無法應對,(3) Transformer 在長序列處理時效率下降，但仍可完整處理所有輸入內容,(4) 每次推理後 Transformer 都需重新訓練才能記住新的資訊,1,
A1-136,A1,036,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,小明剛加入一間電商公司擔任 AI 專案的業務窗口，在與技術團隊的交接會議 中，工程師說明模型訓練時，會持續比對預測值與實際值之間的差距，並透過 一套機制逐步調整模型內部參數，直到預測結果趨於穩定為止。請問工程師敘 第一科：人工智慧基礎概論 答案 題目 述的是深度學習中哪個元件的功能？,(1) 優化器（Optimizer）,(2) 資料前處理模組,(3) 模型架構,(4) 激活函數（Activation Function）,1,
A1-137,A1,037,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某醫療AI 系統使用深度學習模型分析胸腔X 光影像，判斷患者是否罹患肺炎。 醫院評估委員會要求系統必須能夠標示「影像中哪些區域對本次診斷判斷影響 最大」，以供放射科醫師進行審核確認。 下列哪一種可解釋AI 技術最能直接滿 足「標示影像中對預測結果影響最大的區域」此一需求？,(1) LIME（Local Interpretable Model-agnostic Explanations）,(2) SHAP（SHapley Additive exPlanations）,"(3) 部分依賴圖（Partial Dependence Plot, PDP）",(4) 顯著性圖（Saliency Map）,4,
A1-138,A1,038,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某電商平台希望偵測異常評論行為，例如大量重複貼文或疑似機器人生成的評 論。由於此類異常樣本難以事先完整標記，系統主要依據大量正常評論的分布 來識別偏離行為。下列哪一種機器學習框架最能滿足此系統的設計需求？,(1) 非監督式學習（Unsupervised Learning）的關聯規則挖掘，從評論中找出常見 字詞組合,(2) 監督式學習（Supervised Learning）的二元分類，從已標記資料學習分類模 型,(3) 半監督式學習（Semi-supervised Learning）的異常偵測，辨識偏離正常分布的 評論行為,(4) 強化學習（Reinforcement Learning），透過回饋機制優化評論判斷策略,3,
